Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 29.63      6.93     6.93 676872716     0.00     0.00  str_ident
 11.29      9.57     2.64  2103656     0.00     0.00  str_to_sn
 11.07     12.16     2.59 33144313     0.00     0.00  sn_to_ec
 10.73     14.67     2.51  2069333     0.00     0.00  is_retrieve
  5.69     16.00     1.33     8642     0.15     0.15  find_lightest_cl
  4.92     17.15     1.15 36079968     0.00     0.00  child_of_geometry
  3.16     17.89     0.74  4256836     0.00     0.00  free_context
  2.01     18.36     0.47  2089551     0.00     0.00  renumber_vars
  1.80     18.78     0.42  2347499     0.00     0.00  next_term
  1.45     19.12     0.34  2049117     0.00     0.00  canc_fs_pos
  1.28     19.42     0.30  2104178     0.00     0.00  apply
  1.20     19.70     0.28        3    93.34    93.34  cat_str
  1.11     19.96     0.26  2113099     0.00     0.00  unify
  1.03     20.20     0.24 16546782     0.00     0.00  contract_imd
  1.03     20.44     0.24  4147307     0.00     0.00  bits_ulong
  0.98     20.67     0.23  2094697     0.00     0.01  demod
  0.81     20.86     0.19  2078412     0.00     0.00  sn_to_node
  0.64     21.01     0.15 16521418     0.00     0.00  dollar_contract
  0.64     21.16     0.15  2069334     0.00     0.00  build_hyper
  0.56     21.29     0.13  4173882     0.00     0.00  sn_to_str
  0.56     21.42     0.13    43469     0.00     0.47  clash
  0.53     21.55     0.13  2077974     0.00     0.00  ulong_bits
  0.51     21.67     0.12  2120061     0.00     0.00  un_share_special
  0.43     21.77     0.10  2089549     0.00     0.00  renum_vars_term
  0.43     21.87     0.10 16794006     0.00     0.00  get_rel
  0.43     21.97     0.10  2069334     0.00     0.00  forward_subsume
  0.36     22.05     0.09 20985043     0.00     0.00  get_term
  0.36     22.14     0.09 20963849     0.00     0.00  free_term
  0.34     22.22     0.08 28238938     0.00     0.00  next_fpos
  0.34     22.30     0.08  2084186     0.00     0.00  zap_term
  0.34     22.38     0.08   199884     0.00     0.00  flist_insert
  0.30     22.45     0.07 16752177     0.00     0.00  free_rel
  0.30     22.52     0.07  3834084     0.00     0.00  occur_check
  0.30     22.59     0.07  2154066     0.00     0.00  zap_term_special
  0.26     22.65     0.06     4321     0.01     0.28  find_lightest_geo_child
  0.26     22.71     0.06  2190941     0.00     0.00  pos_clause
  0.21     22.76     0.05   410878     0.00     0.00  get_leaf_node
  0.21     22.81     0.05   398824     0.00     0.00  first_fpos
  0.17     22.85     0.04 10338063     0.00     0.00  get_ilist
  0.13     22.88     0.03  8190306     0.00     0.00  get_is_pos
  0.13     22.91     0.03  4216920     0.00     0.00  get_trail
  0.13     22.94     0.03  2112560     0.00     0.00  get_literal
  0.13     22.97     0.03  2069334     0.00     0.01  demod_cl
  0.13     23.00     0.03  2049122     0.00     0.00  cl_del_non
  0.09     23.02     0.02 10237465     0.00     0.00  free_ilist
  0.09     23.04     0.02  2069334     0.00     0.01  pre_process
  0.09     23.06     0.02  2069334     0.00     0.01  proc_gen
  0.09     23.08     0.02  2049117     0.00     0.00  get_fsub_pos
  0.09     23.10     0.02  2049117     0.00     0.00  map_rest
  0.09     23.12     0.02    28884     0.00     0.00  term_fpa_rec
  0.09     23.14     0.02    20231     0.00     0.00  insert_is_tree
  0.09     23.16     0.02     8722     0.00     0.00  cl_find
  0.09     23.18     0.02                             set_up_pointers
  0.04     23.19     0.01  4216917     0.00     0.00  free_trail
  0.04     23.20     0.01  2179478     0.00     0.00  num_literals
  0.04     23.21     0.01  2092327     0.00     0.00  free_literal
  0.04     23.22     0.01  2069334     0.00     0.00  cl_merge
  0.04     23.23     0.01  2069334     0.00     0.00  tautology
  0.04     23.24     0.01  2069333     0.00     0.00  fs_retrieve
  0.04     23.25     0.01  2049122     0.00     0.00  delete_attributes
  0.04     23.26     0.01   610762     0.00     0.00  path_mark_end
  0.04     23.27     0.01   319389     0.00     0.00  is_atom
  0.04     23.28     0.01   297327     0.00     0.00  tp_alloc
  0.04     23.29     0.01    63703     0.00     0.00  build_tree
  0.04     23.30     0.01    63703     0.00     0.00  build_tree_local
  0.04     23.31     0.01    60393     0.00     0.00  wt_match
  0.04     23.32     0.01    50728     0.00     0.00  apply_demod
  0.04     23.33     0.01    20227     0.00     0.00  cl_insert_tab
  0.04     23.34     0.01      642     0.02     0.02  new_sym_num
  0.04     23.35     0.01                             demod_out_in
  0.04     23.36     0.01                             geometry_rule_unif
  0.04     23.37     0.01                             main
  0.04     23.38     0.01                             replace_special
  0.04     23.39     0.01                             xx_resolvable
  0.02     23.39     0.01                             long_str
  0.00     23.39     0.00  6108789     0.00     0.00  free_is_pos
  0.00     23.39     0.00  4256840     0.00     0.00  get_context
  0.00     23.39     0.00  4153293     0.00     0.00  clear_subst_1
  0.00     23.39     0.00  4138668     0.00     0.00  heat_is_on
  0.00     23.39     0.00  2515415     0.00     0.00  answer_lit
  0.00     23.39     0.00  2078226     0.00     0.00  maximal_lit
  0.00     23.39     0.00  2069390     0.00     0.00  multi_justifications
  0.00     23.39     0.00  2069349     0.00     0.00  get_clause
  0.00     23.39     0.00  2069334     0.00     0.00  lit_t_f_reduce
  0.00     23.39     0.00  2049122     0.00     0.00  free_clause
  0.00     23.39     0.00  2049117     0.00     0.00  free_fsub_pos
  0.00     23.39     0.00  2049117     0.00     0.00  free_is_pos_list
  0.00     23.39     0.00  2049117     0.00     0.00  literal_number
  0.00     23.39     0.00   610762     0.00     0.00  hash_path
  0.00     23.39     0.00   397732     0.00     0.00  path_comp
  0.00     23.39     0.00   323628     0.00     0.00  get_fpa_tree
  0.00     23.39     0.00   323605     0.00     0.00  free_fpa_tree
  0.00     23.39     0.00   228846     0.00     0.00  zap_prop_tree
  0.00     23.39     0.00   199884     0.00     0.00  insert_fpa_tab
  0.00     23.39     0.00   159978     0.00     0.00  all_args_vars
  0.00     23.39     0.00   140154     0.00     0.00  weight_retrieve
  0.00     23.39     0.00   140151     0.00     0.00  overbeek_weight
  0.00     23.39     0.00   128983     0.00     0.00  term_compare
  0.00     23.39     0.00   120250     0.00     0.00  hash_term
  0.00     23.39     0.00   100897     0.00     0.00  get_imd_pos
  0.00     23.39     0.00    48162     0.00     0.00  get_is_tree
  0.00     23.39     0.00    40469     0.00     0.00  integrate_term
  0.00     23.39     0.00    35092     0.00     0.00  get_clash_nd
  0.00     23.39     0.00    35090     0.00     0.00  free_clash_nd
